n	id	date	publication	title	snippet
74	dav19470611-01.2.73	11 June 1947	dav	UNKNOWN	"<div class=""txtsearchsnippet"">... בשנות . המלחמה בצבא הבריטי, נתמנ* . סגן מנהל <b class=""highlightcolor"">ביה''ח הממשלתי</b> בחיפה. יצהלן _גליכטון, מזכיר י משטרת אזור רחובות, ...</div>"
75	dhy19310301-01.2.41	1 March 1931	dhy	מאסר קומוניסט;	"<div class=""txtsearchsnippet"">... עדויותיהם של מפקח המשטרה מר עבוד"" אחות ופקיד ‭2'‬ל <b class=""highlightcolor"">_ביה""ח הממשלתי</b> שטפלו באשה הפצועה, ‭:.. ""‬שפט ימשך עוד כמר. ...</div>"
76	hbkr19481123-01.2.11	23 November 1948	hbkr	"הערבים זוממים להחרים ביה""ה ""הדסה"""	"<div class=""txtsearchsnippet"">כתגובה למסירת <b class=""highlightcolor"">ביה־'ח הממשלתי</b> לש עברבירושלים ל ידי היהודים</div>"
77	hbkr19460922-01.2.28	22 September 1946	hbkr	מבושי־ עד בוהר בעירלבלפר	"<div class=""txtsearchsnippet"">... םוד שברשותם נמצאו מכשירים לפריצת דלתות. לתא ־אםירות על <b class=""highlightcolor"">ביה""ח הממשלתי</b> הובאה ביום הששי צעירה בשפ מינה פיפלר, עצורה ...</div>"
78	hbkr19460814-01.2.51	14 August 1946	hbkr	"העיר תל־אביב: ""כתם בל ימחק"""	"<div class=""txtsearchsnippet"">... תא הועבר לביה-ה הירקץ בת""א ופשפ לפהלקה הברימית של <b class=""highlightcolor"">ביה־ח הממשלתי</b> ניטו.</div>"
79	hbkr19420625-01.2.66	25 June 1942	hbkr	החל משפט מוכרי הפרדס בראשר'צ	"<div class=""txtsearchsnippet"">ביליג. שהוא חוליה קשה. 'הובא לביה""ד בבגדי <b class=""highlightcolor"">ביה''ח הממשלתי.</b> היא היחידי מבין הבאשמים שהופיע בלי עמד. העד ...</div>"
80	hmf19460804-01.2.53	4 August 1946	hmf	עבודת ההצלה	"<div class=""txtsearchsnippet"">... — בריטים, הודים וסיני — הועברו לביה""ח הצבאי ול־ <b class=""highlightcolor"">ביה""ח הממשלתי</b> 35 איש, כולם פצועים בצורות שונות‭21. ‬ אחרים ...</div>"
81	ahr19481119-01.2.8	19 November 1948	ahr	בקרב עובדי חיפה גוברת התסיסה לשיפור תנאיהם	"<div class=""txtsearchsnippet"">... באמצעים, ער כדי הפסקת ה ע בודה. מספר עובדי <b class=""highlightcolor"">ביה''_ח הממשלתי</b> הוא למעלה מ־‭— 200‬ רובם מגויימים. יהודה י ...</div>"
82	haretz19460905-01.2.21	5 September 1946	haretz	!מעפילי >>4 חרויות<< בדרך לקפריסין	"<div class=""txtsearchsnippet"">... הקרובים לביה""ח שבעתליס. ואלה שמותיהם של ששת החולים שב־ <b class=""highlightcolor"">ביה""ח הממשלתי:</b> 1) צפורה מוסקוביץ, בת 2) לאה קלינג, בת ...</div>"
83	haretz19471231-01.2.68.3	31 December 1947	haretz	Page 5 Advertisements Column 3	"<div class=""txtsearchsnippet"">... דבמחונך! נפצעו ערכיפ שני פצועים ערבים מיתות הובאו ל־ <b class=""highlightcolor"">ביה""ח הממשלתי</b> בחיפה אתמול בבוקר. חמד רחאם אמד, בן ‭, ...</div>"
84	haretz19450523-01.2.8	23 May 1945	haretz	, ,השביתה הערבית עברה בשקט	"<div class=""txtsearchsnippet"">... כי המכוניות הצבוריות מקו מספר 5 (התחנה המזרחית — <b class=""highlightcolor"">ביה""ח הממשלתי)</b> השייכות לחברה ערבית הלכו כרגיל. כעכר הירדן גס ...</div>"
85	mar19480310-01.2.37	10 March 1948	mar	מענד _למחסם	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">ביה""ח הממשלתי</b> ביפו - לידי הערבים ז ד""ר יוסוף הייכל ...</div>"
